sequenceID,quartile.0%,quartile.25%,quartile.50%,quartile.75%,quartile.100%,mean,sd,bases,count,log+1.quartile.0%,log+1.quartile.25%,log+1.quartile.50%,log+1.quartile.75%,log+1.quartile.100%,log+1.mean,log+1.sd,log+1.bases,log+1.data,log.quartile.0%,log.quartile.25%,log.quartile.50%,log.quartile.75%,log.quartile.100%,log.mean,log.sd,log.bases,log.data,log.log.quartile.0%,log.log.quartile.25%,log.log.quartile.50%,log.log.quartile.75%,log.log.quartile.100%,log.log.mean,log.log.sd,log.log.bases,log.log.data
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr3:93504854-194041961,0,1,2,5,333,3.646856618,5.32334612,100537107,4598600,0,0.693147181,1.098612289,1.791759469,5.811140993,1.536190995,1.844248517,18.42603745,15.34126268,0,0,0.693147181,1.609437912,5.80814249,1.293865596,1.672102076,18.42603744,15.34126247,0,0,-0.366512921,0.475884995,1.759260811,0.257634324,0.514081563,2.913764743,2.730546092
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr4:32840638-40296396,0,1,2,5,325,3.964761464,7.070234986,7455758,357892,0,0.693147181,1.098612289,1.791759469,5.786897381,1.602365253,2.0881826,15.82449731,12.78798934,0,0,0.693147181,1.609437912,5.783825182,1.377445693,1.955893716,15.82449718,12.78798654,0,0,-0.366512921,0.475884995,1.75506526,0.320230837,0.670847233,2.761559194,2.548506179
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr4:68270000-75427379,0,1,2,5,291,3.84237568,5.876855514,7157379,340282,0,0.693147181,1.098612289,1.791759469,5.676753802,1.577405443,1.9281615,15.78365455,12.7375329,0,0,0.693147181,1.609437912,5.673323267,1.346090842,1.771021842,15.78365441,12.73752996,0,0,-0.366512921,0.475884995,1.73577506,0.297204719,0.571556692,2.758974874,2.544552751
H3K4me3_TDH_immune/samples/bcell/McGill0091/problems/chr4:9324642-31820917,0,1,2,5,195,3.557344894,4.459670184,22496275,1021838,0,0.693147181,1.098612289,1.791759469,5.278114659,1.516740194,1.697388382,16.92886034,13.8371145,0,0,0.693147181,1.609437912,5.272999559,1.26901445,1.495074813,16.9288603,13.83711352,0,0,-0.366512921,0.475884995,1.662599377,0.238240576,0.402176248,2.829019875,2.627354368
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:60000-17974675,0,1,2,4,69,2.783312284,2.809581663,17914675,897743,0,0.693147181,1.098612289,1.609437912,4.248495242,1.330599892,1.337519383,16.70113082,13.70764023,0,0,0.693147181,1.386294361,4.234106505,1.023641688,1.033035598,16.70113077,13.70763911,0,0,-0.366512921,0.32663426,1.443172327,0.023366551,0.03250165,2.815476428,2.617953277
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr11:96437584-134946516,0,1,2,4,80,2.955420083,2.874639436,38508932,2040136,0,0.693147181,1.098612289,1.609437912,4.394449155,1.375086811,1.35445261,17.4664008,14.52852752,0,0,0.693147181,1.386294361,4.382026635,1.083640801,1.055927253,17.46640077,14.52852703,0,0,-0.366512921,0.32663426,1.477511319,0.080326483,0.054419294,2.86027908,2.676114098
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr12:38150000-66400000,0,1,2,4,88,3.187480673,3.372488302,28250000,1597393,0,0.693147181,1.098612289,1.609437912,4.48863637,1.432099282,1.475332253,17.15660405,14.28388411,0,0,0.693147181,1.386294361,4.477336814,1.159230847,1.21565084,17.15660402,14.28388348,0,0,-0.366512921,0.32663426,1.499028409,0.147756722,0.195279605,2.842383173,2.659131873
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr18:18521000-52059136,0,1,2,4,89,2.991108421,2.672681713,33538136,1800622,0,0.693147181,1.098612289,1.609437912,4.49980967,1.384068992,1.300922107,17.32819377,14.40364327,0,0,0.693147181,1.386294361,4.48863637,1.095644028,0.983082355,17.32819374,14.40364272,0,0,-0.366512921,0.32663426,1.501548952,0.091342344,-0.017062383,2.852334871,2.667481141
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr1:17175658-29878082,0,1,2,3,74,2.357202688,3.276919276,12702424,538832,0,0.693147181,1.098612289,1.386294361,4.317488114,1.211108094,1.453232955,16.35730348,13.19716097,0,0,0.693147181,1.098612289,4.304065093,0.857475614,1.186903736,16.3573034,13.19715911,0,0,-0.366512921,0.094047828,1.459559947,-0.153762538,0.171348014,2.794674489,2.580001588
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr1:30028082-91800000,0,1,2,4,78,2.88347948,2.967536629,61771918,3188218,0,0.693147181,1.098612289,1.609437912,4.369447852,1.356731525,1.378145406,17.93895943,14.97497301,0,0,0.693147181,1.386294361,4.356708827,1.058997718,1.087732191,17.93895942,14.9749727,0,0,-0.366512921,0.32663426,1.471716916,0.057322912,0.08409497,2.886974851,2.706380321
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr2:21178113-33000000,0,1,2,4,62,2.717614624,2.953131625,11821887,576869,0,0.693147181,1.098612289,1.609437912,4.143134726,1.313082233,1.374508081,16.28546329,13.26537222,0,0,0.693147181,1.386294361,4.127134385,0.999754519,1.082866175,16.2854632,13.26537048,0,0,-0.366512921,0.32663426,1.417583313,-0.000245511,0.079611392,2.790272882,2.585156917
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr2:33200000-87000000,0,1,2,4,78,3.058102454,3.009060166,53800000,2937888,0,0.693147181,1.098612289,1.609437912,4.369447852,1.400715488,1.388556841,17.80078404,14.89320185,0,0,0.693147181,1.386294361,4.356708827,1.11779461,1.101627793,17.80078403,14.89320151,0,0,-0.366512921,0.32663426,1.471716916,0.111357646,0.096788898,2.879242503,2.700904835
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr2:5118788-16279724,0,1,2,4,60,2.825134559,2.615728968,11160936,567919,0,0.693147181,1.098612289,1.609437912,4.110873864,1.341593645,1.285293486,16.22793047,13.24973584,0,0,0.693147181,1.386294361,4.094344562,1.038555995,0.961542823,16.22793038,13.24973408,0,0,-0.366512921,0.32663426,1.409606646,0.037831282,-0.039216178,2.786733855,2.583977483
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr2:95326171-109668000,0,1,2,4,73,3.040449653,3.038822119,14341829,779891,0,0.693147181,1.098612289,1.609437912,4.304065093,1.396355986,1.395953095,16.478691,13.56691073,0,0,0.693147181,1.386294361,4.290459441,1.112005417,1.111469979,16.47869093,13.56690945,0,0,-0.366512921,0.32663426,1.456393823,0.106165067,0.105683445,2.802068087,2.607633699
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr3:93504854-194041961,0,1,3,4,70,3.130375484,2.927665835,100537107,5616103,0,0.693147181,1.386294361,1.609437912,4.262679877,1.418368319,1.368045314,18.42603745,15.54114874,0,0,1.098612289,1.386294361,4.248495242,1.14115296,1.074205462,18.42603744,15.54114856,0,0,0.094047828,0.32663426,1.44656486,0.13203912,0.071581283,2.913764743,2.743491252
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr4:32840638-40296396,0,1,3,4,78,3.153390306,3.127272951,7455758,417946,0,0.693147181,1.386294361,1.609437912,4.369447852,1.423924942,1.417616887,15.82449731,12.94310991,0,0,1.098612289,1.386294361,4.356708827,1.148478162,1.140161363,15.82449718,12.94310752,0,0,0.094047828,0.32663426,1.471716916,0.138437728,0.131169799,2.761559194,2.560563408
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr4:68270000-75427379,0,1,3,4,76,3.084410089,2.804888205,7157379,393811,0,0.693147181,1.386294361,1.609437912,4.343805422,1.407177309,1.33628661,15.78365455,12.88362892,0,0,1.098612289,1.386294361,4.33073334,1.12636042,1.031363682,15.78365441,12.88362638,0,0,0.094047828,0.32663426,1.46573689,0.118991567,0.03088189,2.758974874,2.555957232
H3K4me3_TDH_immune/samples/bcell/McGill0322/problems/chr4:9324642-31820917,0,1,3,4,78,3.11766877,2.635187019,22496275,1257121,0,0.693147181,1.386294361,1.609437912,4.369447852,1.415287171,1.290660559,16.92886034,14.04433554,0,0,1.098612289,1.386294361,4.356708827,1.137085533,0.968954154,16.9288603,14.04433474,0,0,0.094047828,0.32663426,1.471716916,0.128468439,-0.03153798,2.829019875,2.642219093
H3K4me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:60000-17974675,0,1,2,4,122,2.905277991,3.290916036,17914675,924298,0,0.693147181,1.098612289,1.609437912,4.812184355,1.362328969,1.456500238,16.70113082,13.73679089,0,0,0.693147181,1.386294361,4.804021045,1.06652908,1.191165956,16.70113077,13.73678981,0,0,-0.366512921,0.32663426,1.569453285,0.064409525,0.174932623,2.815476428,2.620077621
H3K4me3_TDH_immune/samples/monocyte/McGill0001/problems/chr11:96437584-134946516,0,1,2,4,154,2.99241189,3.514832699,38508932,2027711,0,0.693147181,1.098612289,1.609437912,5.043425117,1.384395532,1.507368132,17.4664008,14.52241862,0,0,0.693147181,1.386294361,5.036952602,1.096079715,1.256991928,17.46640077,14.52241813,0,0,-0.366512921,0.32663426,1.616801257,0.091739918,0.228721508,2.86027908,2.675693533
H3K4me3_TDH_immune/samples/monocyte/McGill0001/problems/chr12:38150000-66400000,0,1,3,4,136,3.436840743,4.444540793,28250000,1678578,0,0.693147181,1.386294361,1.609437912,4.919980926,1.489942579,1.694613417,17.15660405,14.33345816,0,0,1.098612289,1.386294361,4.912654886,1.234552661,1.491676555,17.15660402,14.33345756,0,0,0.094047828,0.32663426,1.591814506,0.210708687,0.399900692,2.842383173,2.662596494
H3K4me3_TDH_immune/samples/monocyte/McGill0001/problems/chr18:18521000-52059136,0,1,3,4,112,3.055914467,2.91417933,33538136,1819071,0,0.693147181,1.386294361,1.609437912,4.727387819,1.400176178,1.364605686,17.32819377,14.41383704,0,0,1.098612289,1.386294361,4.718498871,1.117078882,1.069588247,17.32819374,14.41383649,0,0,0.094047828,0.32663426,1.551490713,0.110717137,0.067273758,2.852334871,2.668188613
H3K4me3_TDH_immune/samples/monocyte/McGill0001/problems/chr1:17175658-29878082,0,1,2,3,136,2.741819199,4.581287616,12702424,606885,0,0.693147181,1.098612289,1.386294361,4.919980926,1.31957191,1.719419505,16.35730348,13.31609624,0,0,0.693147181,1.098612289,4.912654886,1.008621641,1.521980097,16.3573034,13.3160946,0,0,-0.366512921,0.094047828,1.591814506,0.008584687,0.420012183,2.794674489,2.588973424
H3K4me3_TDH_immune/samples/monocyte/McGill0001/problems/chr1:30028082-91800000,0,1,2,4,152,3.153459748,3.737323594,61771918,3413011,0,0.693147181,1.098612289,1.609437912,5.030437921,1.423941661,1.555472334,17.93895943,15.04310574,0,0,0.693147181,1.386294361,5.023880521,1.148500183,1.318369739,17.93895942,15.04310545,0,0,-0.366512921,0.32663426,1.614202647,0.138456902,0.276395927,2.886974851,2.710919777
H3K4me3_TDH_immune/samples/monocyte/McGill0001/problems/chr2:21178113-33000000,0,1,2,4,151,3.074258027,4.205846501,11821887,634787,0,0.693147181,1.098612289,1.609437912,5.023880521,1.404688651,1.649782321,16.28546329,13.36104636,0,0,0.693147181,1.386294361,5.017279837,1.12306358,1.436475581,16.2854632,13.36104479,0,0,-0.366512921,0.32663426,1.612887922,0.11606029,0.362192601,2.790272882,2.592343368
H3K4me3_TDH_immune/samples/monocyte/McGill0001/problems/chr2:33200000-87000000,0,1,3,4,151,3.310858197,3.837653495,53800000,3112280,0,0.693147181,1.386294361,1.609437912,5.023880521,1.461137002,1.576429788,17.80078404,14.95086646,0,0,1.098612289,1.386294361,5.017279837,1.19720743,1.344861111,17.80078403,14.95086613,0,0,0.094047828,0.32663426,1.612887922,0.179991703,0.296290744,2.879242503,2.704769234
H3K4me3_TDH_immune/samples/monocyte/McGill0001/problems/chr2:5118788-16279724,0,1,2,4,118,2.897532698,2.968877075,11160936,576117,0,0.693147181,1.098612289,1.609437912,4.779123493,1.360343711,1.378483202,16.22793047,13.26406778,0,0,0.693147181,1.386294361,4.770684624,1.063859581,1.088183792,16.22793038,13.26406604,0,0,-0.366512921,0.32663426,1.562489822,0.06190341,0.084510061,2.786733855,2.585058578
H3K4me3_TDH_immune/samples/monocyte/McGill0001/problems/chr2:95326171-109668000,0,1,2,4,146,3.056068232,3.428406125,14341829,773752,0,0.693147181,1.098612289,1.609437912,4.990432587,1.400214089,1.488039728,16.478691,13.55900798,0,0,0.693147181,1.386294361,4.983606622,1.117129198,1.232095467,16.47869093,13.55900669,0,0,-0.366512921,0.32663426,1.60615385,0.110762179,0.208716351,2.802068087,2.607051027
H3K4me3_TDH_immune/samples/monocyte/McGill0001/problems/chr3:93504854-194041961,0,1,3,4,149,3.290771396,3.54950268,100537107,5799492,0,0.693147181,1.386294361,1.609437912,5.010635294,1.456466529,1.515017926,18.42603745,15.57328106,0,0,1.098612289,1.386294361,5.003946306,1.191122004,1.266807503,18.42603744,15.57328089,0,0,0.094047828,0.32663426,1.610226862,0.174895724,0.236499959,2.913764743,2.745556682
H3K4me3_TDH_immune/samples/monocyte/McGill0001/problems/chr4:32840638-40296396,0,1,3,5,123,3.457359399,3.714491833,7455758,450440,0,0.693147181,1.386294361,1.791759469,4.820281566,1.494556528,1.550641134,15.82449731,13.01798238,0,0,1.098612289,1.609437912,4.812184355,1.240505118,1.312241881,15.82449718,13.01798016,0,0,0.094047828,0.475884995,1.571151109,0.21551865,0.271737034,2.761559194,2.566331491
H3K4me3_TDH_immune/samples/monocyte/McGill0001/problems/chr4:68270000-75427379,0,1,3,4,105,3.26558479,3.250041831,7157379,409977,0,0.693147181,1.386294361,1.609437912,4.663439094,1.450579285,1.446928826,15.78365455,12.92385878,0,0,1.098612289,1.386294361,4.65396035,1.183438855,1.178667867,15.78365441,12.92385634,0,0,0.094047828,0.32663426,1.537718545,0.168424484,0.164384875,2.758974874,2.559074932
H3K4me3_TDH_immune/samples/monocyte/McGill0001/problems/chr4:9324642-31820917,0,1,3,4,124,3.148329535,2.923374638,22496275,1252493,0,0.693147181,1.386294361,1.609437912,4.828313737,1.422705731,1.36695216,16.92886034,14.04064732,0,0,1.098612289,1.386294361,4.820281566,1.146872006,1.072738647,16.9288603,14.04064652,0,0,0.094047828,0.32663426,1.572832342,0.137038241,0.070214862,2.829019875,2.641956446
H3K4me3_TDH_immune/samples/monocyte/McGill0002/problems/chr10:60000-17974675,0,0,1,3,330,2.429270249,7.093423945,17914675,663006,0,0,0.693147181,1.386294361,5.802118375,1.232347483,2.091051873,16.70113082,13.40454083,0,0,0,1.098612289,5.799092654,0.887590903,1.95916815,16.70113077,13.40453932,0,0,0,0.094047828,1.757701466,-0.119244337,0.67251997,2.815476428,2.595593405
H3K4me3_TDH_immune/samples/monocyte/McGill0002/problems/chr11:96437584-134946516,0,0,1,3,396,2.377041358,7.568594327,38508932,1374843,0,0,0.693147181,1.386294361,5.983936281,1.216999988,2.148103697,17.4664008,14.13385083,0,0,0,1.098612289,5.981414211,0.865856587,2.02400736,17.46640077,14.1338501,0,0,0,0.094047828,1.78865703,-0.144035988,0.705079388,2.86027908,2.648572637
H3K4me3_TDH_immune/samples/monocyte/McGill0002/problems/chr12:38150000-66400000,0,0,2,3,376,3.338249381,10.42269935,28250000,1329313,0,0,1.098612289,1.386294361,5.932245187,1.467470898,2.435602546,17.15660405,14.10017358,0,0,0.693147181,1.098612289,5.929589143,1.205446532,2.343986057,17.15660402,14.10017283,0,0,-0.366512921,0.094047828,1.779954926,0.186850064,0.851852923,2.842383173,2.646187054
H3K4me3_TDH_immune/samples/monocyte/McGill0002/problems/chr18:18521000-52059136,0,0,1,3,278,2.11248547,5.369443431,33538136,1118019,0,0,0.693147181,1.386294361,5.631211782,1.135421594,1.851512092,17.32819377,13.92706982,0,0,0,1.098612289,5.627621114,0.747865202,1.680724259,17.32819374,13.92706893,0,0,0,0.094047828,1.727686815,-0.290532528,0.519224807,2.852334871,2.633834351
H3K4me3_TDH_immune/samples/monocyte/McGill0002/problems/chr1:17175658-29878082,0,0,1,3,357,3.155538423,10.17243901,12702424,567484,0,0,0.693147181,1.386294361,5.880532986,1.424442004,2.413449943,16.35730348,13.2489696,0,0,0,1.098612289,5.877735782,1.149159139,2.319682005,16.3573034,13.24896783,0,0,0,0.094047828,1.771171617,0.139030491,0.841430109,2.794674489,2.58391965
H3K4me3_TDH_immune/samples/monocyte/McGill0002/problems/chr1:30028082-91800000,0,0,1,3,464,2.711232279,8.652953243,61771918,2458688,0,0,0.693147181,1.386294361,6.142037406,1.311363972,2.267263904,17.93895943,14.71513884,0,0,0,1.098612289,6.139884552,0.997403247,2.157900678,17.93895942,14.71513843,0,0,0,0.094047828,1.814805939,-0.00260013,0.769135841,2.886974851,2.688876789
H3K4me3_TDH_immune/samples/monocyte/McGill0002/problems/chr2:21178113-33000000,0,0,1,3,426,2.917410478,10.39674246,11821887,488079,0,0,0.693147181,1.386294361,6.056784013,1.365430843,2.433327565,16.28546329,13.09823461,0,0,0,1.098612289,6.054439346,1.0706964,2.341492532,16.2854632,13.09823256,0,0,0,0.094047828,1.800791779,0.068309278,0.85078856,2.790272882,2.572477302
H3K4me3_TDH_immune/samples/monocyte/McGill0002/problems/chr2:33200000-87000000,0,0,1,3,468,2.851714312,9.307806838,53800000,2230289,0,0,0.693147181,1.386294361,6.150602768,1.348518325,2.332901554,17.80078404,14.61764218,0,0,0,1.098612289,6.148468296,1.047920327,2.230853493,17.80078403,14.61764173,0,0,0,0.094047828,1.816202993,0.046807559,0.802384245,2.879242503,2.682229137
H3K4me3_TDH_immune/samples/monocyte/McGill0002/problems/chr2:5118788-16279724,0,0,1,3,399,2.252863022,6.321775886,11160936,394004,0,0,0.693147181,1.386294361,5.991464547,1.179535538,1.990852906,16.22793047,12.88411888,0,0,0,1.098612289,5.988961417,0.812201861,1.844000163,16.22793038,12.88411634,0,0,0,0.094047828,1.789918011,-0.208006372,0.611937214,2.786733855,2.555995261
H3K4me3_TDH_immune/samples/monocyte/McGill0002/problems/chr2:95326171-109668000,0,0,1,3,287,2.574893969,7.177789947,14341829,563903,0,0,0.693147181,1.386294361,5.66296048,1.273935517,2.101421936,16.478691,13.2426393,0,0,0,1.098612289,5.659482216,0.945808356,1.970991529,16.47869093,13.24263753,0,0,0,0.094047828,1.733332407,-0.055715314,0.67853673,2.802068087,2.58344174
H3K4me3_TDH_immune/samples/monocyte/McGill0002/problems/chr3:93504854-194041961,0,0,1,3,449,2.679341708,8.276784935,100537107,3996219,0,0,0.693147181,1.386294361,6.109247583,1.302733853,2.227515036,18.42603745,15.20085947,0,0,0,1.098612289,6.107022888,0.985571133,2.1134546,18.42603744,15.20085922,0,0,0,0.094047828,1.809439402,-0.014533975,0.74832386,2.913764743,2.721351954
H3K4me3_TDH_immune/samples/monocyte/McGill0002/problems/chr4:32840638-40296396,0,0,2,3,410,2.876395398,9.448470975,7455758,309081,0,0,1.098612289,1.386294361,6.018593214,1.354905701,2.34645565,15.82449731,12.64136189,0,0,0.693147181,1.098612289,6.01615716,1.056537912,2.245852927,15.82449718,12.64135866,0,0,-0.366512921,0.094047828,1.79444871,0.054997442,0.809085372,2.761559194,2.536973872
H3K4me3_TDH_immune/samples/monocyte/McGill0002/problems/chr4:68270000-75427379,0,0,1,3,319,2.557566673,7.629966146,7157379,271960,0,0,0.693147181,1.386294361,5.768320996,1.269076792,2.155240582,15.78365455,12.51341395,0,0,0,1.098612289,5.765191103,0.939056288,2.032083408,15.78365441,12.51341028,0,0,0,0.094047828,1.751838302,-0.062879857,0.709061576,2.758974874,2.526800891
H3K4me3_TDH_immune/samples/monocyte/McGill0002/problems/chr4:9324642-31820917,0,0,1,3,397,2.166500943,5.687875674,22496275,764691,0,0,0.693147181,1.386294361,5.986452005,1.152627175,1.900296286,16.92886034,13.54722842,0,0,0,1.098612289,5.983936281,0.773113397,1.738336835,16.9288603,13.54722711,0,0,0,0.094047828,1.789078592,-0.257329543,0.552928814,2.829019875,2.606181885
H3K4me3_TDH_immune/samples/monocyte/McGill0058/problems/chr10:60000-17974675,0,0,0,2,420,1.841228378,5.464438944,17914675,340187,0,0,0,1.098612289,6.042632834,1.044236486,1.866316225,16.70113082,12.73725368,0,0,0,0.693147181,6.040254711,0.610432946,1.698261453,16.70113077,12.73725075,0,0,0,-0.366512921,1.798446182,-0.493586826,0.529605053,2.815476428,2.54453083
H3K4me3_TDH_immune/samples/monocyte/McGill0058/problems/chr11:96437584-134946516,0,0,0,2,362,1.984628475,5.654426032,38508932,773064,0,0,0,1.098612289,5.894402834,1.093475275,1.895282202,17.4664008,13.55811841,0,0,0,0.693147181,5.891644212,0.685431731,1.732438607,17.46640077,13.55811712,0,0,0,-0.366512921,1.773535112,-0.377706376,0.549530015,2.86027908,2.606985417
H3K4me3_TDH_immune/samples/monocyte/McGill0058/problems/chr12:38150000-66400000,0,0,0,3,414,2.636892531,7.43700487,28250000,740341,0,0,0,1.386294361,6.02827852,1.291129617,2.132627372,17.15660405,13.51486752,0,0,0,1.098612289,6.025865974,0.969601152,2.006468197,17.15660402,13.51486617,0,0,0,0.094047828,1.796061199,-0.030870475,0.69637606,2.842383173,2.603790277
H3K4me3_TDH_immune/samples/monocyte/McGill0058/problems/chr18:18521000-52059136,0,0,0,2,369,1.951925444,4.369199412,33538136,668414,0,0,0,1.098612289,5.913503006,1.08245765,1.680678812,17.32819377,13.41266452,0,0,0,0.693147181,5.910796644,0.668816293,1.474579792,17.32819374,13.41266302,0,0,0,-0.366512921,1.776780618,-0.402245857,0.388373062,2.852334871,2.596199262
H3K4me3_TDH_immune/samples/monocyte/McGill0058/problems/chr1:17175658-29878082,0,0,0,1,325,1.331684094,5.702741696,12702424,184113,0,0,0,0.693147181,5.786897381,0.846590794,1.902516651,16.35730348,12.12331041,0,0,0,0,5.783825182,0.286444378,1.740947058,16.3573034,12.12330498,0,0,0,0,1.75506526,-1.250210906,0.554429252,2.794674489,2.495129631
H3K4me3_TDH_immune/samples/monocyte/McGill0058/problems/chr1:30028082-91800000,0,0,0,2,507,2.037496812,5.849698343,61771918,1271684,0,0,0,1.098612289,6.230481448,1.111033759,1.924204614,17.93895943,14.05585335,0,0,0,0.693147181,6.228511004,0.711722001,1.766390095,17.93895942,14.05585256,0,0,0,-0.366512921,1.8291373,-0.340067891,0.568937969,2.886974851,2.643038862
H3K4me3_TDH_immune/samples/monocyte/McGill0058/problems/chr2:21178113-33000000,0,0,0,2,537,1.976513986,7.139252632,11821887,232656,0,0,0,1.098612289,6.28785856,1.090752813,2.096698362,16.28546329,12.35732054,0,0,0,0.693147181,6.285998095,0.68133468,1.965608098,16.2854632,12.35731625,0,0,0,-0.366512921,1.838324635,-0.38370164,0.675801662,2.790272882,2.514248296
H3K4me3_TDH_immune/samples/monocyte/McGill0058/problems/chr2:33200000-87000000,0,0,0,3,514,2.297438494,6.787314848,53800000,1225632,0,0,0,1.386294361,6.244166901,1.193145953,2.052496108,17.80078404,14.018968,0,0,0,1.098612289,6.242223265,0.831794804,1.915055407,17.80078403,14.01896719,0,0,0,0.094047828,1.831336411,-0.184169498,0.649746555,2.879242503,2.640411212
